Exhibitor Name;Exhibitor blurb;Website;Facebook;Twitter;Instagram;Photo filename
Croquembouche Patisserie;"Croquembouche Pâtisserie was founded in December 2000 by Frederic and Laurence Caillon. Thanks to the support of the local community in Banksmeadow and Botany, the word soon spread around about ‘this new cake place’ and the rest is history. After six months, Croquembouche outgrew its premises and moved into a larger shop at 1635 Botany Rd, the current address. The addition of tables and chairs has allowed customers to enjoy an espresso or cup of tea with their cakes or savoury treats.
Today, Croquembouche is one of the busiest French Patisseries in Sydney and customers come from as far as Cronulla and Palm Beach.";http://www.croquembouche.com.au/;https://www.facebook.com/pages/Croquembouche-Patisserie/340360986040241;;http://instagram.com/croquembouchepatisserie;
Bream Creek Wines;Overlooking the breathtaking seascape of Marion Bay and Maria Island in South Eastern Tasmania, Bream Creek is one of the first commercial vineyards planted in Tasmania. In August 1990, the vineyard was purchased by Fred Peacock - one of Tasmania’s leading viticulturalists. Fred’s priority was to increase Pinot Noir plantings and introduce Sauvignon Blanc and Schonburger (the first commercial plantings in the Southern Hemisphere.) The Riesling vines are now over 40 years old, some of the oldest commercial vines in Tasmania. With Fred’s dedication and passion, the vineyard is now a 7.5 hectare showcase of premium Tasmanian varieties.;http://www.breamcreekvineyard.com.au;https://www.facebook.com/breamcreekwines;https://twitter.com/BreamCkVineyard;http://instagram.com/Breamcreekvinyard;
Krinklewood Vineyard;An Organic Biodynamic Vineyard with family passion and delicious wines. Krinklewood vineyard is a family owned & run certified Biodynamic vineyard & farm. The property is managed in a holistic and sustainable way which is shown in the individuality and superior quality of the wines. The cellar door & winery is set amongst Provencal gardens, urns & fountains and is surrounded with animal life, olive trees & the beautiful Brokenback ranges. CELLAR DOOR OPEN WEEKENDS 10AM - 5PM. Our mission is to consistently strive to produce outstanding wines that reflect the unique characteristics of the Krinklewood terroir. All produced on a property that is in harmony with nature and is safe to work on and live on.;http://www.krinklewood.com;https://www.facebook.com/krinklewood;https://twitter.com/kringlewoodwine;;
MAGGIE McKEEVERS;"Fresh, delicious, honest food made lovingly by hand for busy people. Our mission is to change pre-conceptions of pre-prepared meals, indulge a love of home-style comfort food and carry on our Nan's generosity of spirit. By providing freshly made meals from family recipes, we hope to take the pressure off busy people and give them more time to spend doing whatever makes them happy – the more frivolous the better! What three words come to mind when you think of pre-prepared meals? If those words are not fresh, handmade and delicious, then you have never tried Maggie McKeever’s. Maggie’s meals don’t come from a factory. They’re made lovingly by hand in their specialized kitchen using only the freshest of ingredients.

The inspiration for Maggie’s meals came from the home recipes of Peter Graham’s Irish grandmother and the motivation, from the lack of quality ready meals he could find on the way home at the end of a busy day. Peter decided there had to be a better option for others who want good home-style food without losing precious time preparing it. So he gave up his corporate job to start Maggie McKeever’s – a brave step, as wife Kate was pregnant with their first child at the time. 

“I grew up sharing the most incredible family gatherings around the table, eating good food and having meaningful conversations. Our mission is to give some extra time back to people so they can do whatever makes them happy. That's what Maggie McKeever's is all about,"" smiles Peter Graham, Maggie McKeever’s Big Chief.

From humble beginnings in their home kitchen in 2012 providing individual meals to office workers in the city, Maggie’s soon moved into a larger kitchen in Brookvale. They took on weekend markets where they continue to build a loyal following, and carefully selected retail stockists that fit with their brand. Now available from Thomas Dux Grocer in Sydney and Melbourne, as well as a growing number of stores with Harris Farm Markets, IGA and boutique foodie delis and markets throughout Sydney. 

Maggie’s range is small so they can concentrate on quality handmade meals, while still supplying their growing list of stockists. From unique family recipes such as the 'Signature Homebake' with chicken, peaches and broccoli, to 'The G' – a vegetarian lasagne brimming with flavour that many say is as good as any they’ve tasted. Maggie McKeever’s meals are perfect for busy mums, fussy kids, corporate workers, retired people who want something better, in fact for anyone with a busy life who loves good, home-style food. Some meals are even gluten free. 

Maggie McKeever’s will change many people’s pre-conceptions of pre-prepared meals.";http://www.maggiemckeevers.com.au;https://www.facebook.com/maggiemckeevers;https://twitter.com/maggiemckeevers;http://instagram.com/maggiemckeevers;
Clover Hill Wines;"Discover the essence of Tasmania. Discover the elegance of Clover Hill.  Established in 1986, on the site of an old dairy farm, Clover Hill was the first vineyard in Tasmania to dedicate itself to the production of sparkling wines, exclusively growing the ""holy trinity"" of varieties: chardonnay, pinot noir and pinot meunier. 

Owner John Goelet, a direct descendant of the Guestier wine merchant family of Bordeaux, discovered the site after a worldwide search for a sparkling wine estate.

Clover Hill is a family-owned, boutique producer of méthode traditionnelle-crafted sparkling wines - a Tasmanian Boutique Sparkling House. Cool-climate Tasmania is renowned for producing Australia’s finest sparklings – wines with elegance, finesse and depth. 

Clover Hill is a boutique Tasmanian sparkling house. It is dedicated to the production of méthode-traditionnelle sparkling wines, exclusively growing the chardonnay, pinot noir and pinot meuniere. 

Clover Hill’s award-winning wines have garnered critical acclaim since the winery’s inception in 1986, winning the hearts of even the most royal among us. Clover Hill was selected as one of only four iconic Australian wines to be served to Her Majesty The Queen and His Royal Highness The Duke of Edinburgh during their most recent Australian visit. Prior to that, it was the tipple of choice at Princess Mary’s and Prince Frederik’s wedding celebrations. 

Clover Hill was awarded the inaugural Tasmanian Vineyard of the Year and, since then, has continued to collect gold trophies and awards from some of Australia’s most prestigious wine shows and competitions. 

Clover Hill’s Signature Labels
Established in 1986 on the site of a former dairy farm, Clover Hill’s rich land was a mosaic of undulating hills and golden clovers. Now lined with picturesque vines, a smattering of golden clovers can still be seen peeking out amongst the vines on the slopes of our finest pinot blocks. ";http://www.cloverhillwines.com.au;https://www.facebook.com/CloverHillWines;https://twitter.com/CloverHillWines ;http://instagram.com/CLOVERHILLWINES;
Bullion Cellars;"Too many great wines - not enough dinner parties!!! We started Bullion Cellars because every time we went to our favourite restaurants we had these amazing food and wine
experiences, but when we tried to purchase these wines to drink at home, we could not find them anywhere. (And we have
been in the production side of the wine industry for over 15 years!)
Well now we can and you can too! Every three months we deliver to our members, a mixed dozen of exclusive Imported and Australian wines, chosen by the sommeliers of our country’s finest restaurants.
We have been constantly amazed by the quality and the diversity of our sommelier’s selection. These special and
distinctive wines are from producers and regions you may not be familiar with, but like us, you will learn to trust in their
selections. These guys really know their profession and it is great to have such superb wines at home, ready for that next
dinner party or special occasion.
There is no contract, you can cancel or postpone your deliveries at any time and each Mixed Dozen will cost you $399 plus freight (an average of $33 per bottle) - Or just over $30 per week - A bargain for the quality of our sommeliers’ selections.";http://www.bullioncellars.com.au;https://www.facebook.com/pages/Bullion-Cellars/210378298980169;https://twitter.com/BullionCellars;;
Tamburlaine;Tamburlaine is Australia’s largest producer of organic wines.;http://www.tamburlaine.com.au;https://www.facebook.com/Tamburlaine.Organic.Wines;https://twitter.com/LoveOrganicWine;http://instagram.com/tamburlaineorganicwines;
Loose Goose Wines;"Representing some of the finest of Australia's hand crafted, small scale and artisan wineries. At Loose Goose Wines we have sought out the exceptional and the unique. We represent a handful of independent wineries that have been selected to reflect our appreciation for hand crafted, artisan winemaking. Small batch production and hands on involvement from vine to wine are the common elements that make these wines outstanding. They possess honest expression an individual character that reflects a great synergy of regional expression and the winemakers art.

To find out more about these wineries and the beautiful wines they produce please visit our website: ";www.loosegoosewines.com.au;https://www.facebook.com/loosegoosewines;;;
Rogue Wines;Rogue Wines are producers and distributors of a range of wines from across New Zealand & Australia. The vision of three Aussie mates each with a passion for wine. Rogue has grown to be one of Australia's largest independent distributors. As growers and producers of our own brands we understand the need to have solid distribution so we've build Rogue to do just that. We hope you enjoy our wines.;http://www.roguewines.com.au;https://www.facebook.com/roguewines.com.au;https://twitter.com/RogueValleyVine;;
Angullong Wines;"Angullong is located amongst the picturesque foothills of Orange’s Mount Canobolas. The cool climate, ancient soils and judicious vineyard management combine to produce quality fruit and wines with great regional character. Angullong is a one of the Orange regions most awarded winemakers. 

The family owned vineyards are located on the southern lower slopes of Orange at the foothills of the ancient volcano, Mount Canobolas. Angullong’s typography is best described as dramatic. The country ranges from undulating to steep hills with spectacular limestone escarpments that radically descend to the fast flowing Belubula... See More";http://www.angullong.com.au;https://www.facebook.com/angullong;https://twitter.com/angullongwines;http://instagram.com/angullong;
Gourmet Gozleme;"Australia's Best Gozleme operation. Find us at major Events, Expos @ Festivals in Sydney, Regional NSW, Canberra, Victoria & Queensland. Australia's Best Gozleme operation. Find us at major Events, Expos @ Festivals in Sydney, Regional NSW, Canberra, Victoria & Queensland. We source our ingredients locally wherever we go in Australia. We use 100% Certified Organic Pastry, Beef, Spinach & Mushrooms at all our major events. Our stall presentation, Staff appearance and product quality is second to none. Gourmet Gozleme is the premier Gozleme operator in the industry. We serve The Best Gozleme Ever at major Events, Expos & Festivals up and down the entire length of the Australian East Coast.
See our website for more detailed information about us and our operation. We are the original and only 100% Enviro Friendly & 100% Certified Organic and Sustainable Farming ingredient using Gozleme operator. We make, ""The Best Gozleme You'll Ever Have""";http://www.gourmetgozleme.com.au;https://www.facebook.com/GourmetGozleme;https://twitter.com/GourmetGozleme;;
Pukara Estate;Pukara Estate’s Extra Virgin Olive Oils are amongst Australia’s best, winning over 50 awards nationally. Check out our website for all things olive oil, recipes and more;www.pukaraestate.com.au;https://www.facebook.com/PukaraEstate;https://twitter.com/PukaraEstate;http://instagram.com/PukaraEstate;
Bocastle Pastries;"Boscastle.  The foodie’s favourite pie. Making the perfect pie is a labour of love. You’ve got to be passionate. Our pie crust is flaky and golden and melts in the mouth, and our fillings are spectacular - made from the finest ingredients and cooked to perfection. 

Take the Black Angus Beef Pie that boasts premium quality, tender Certified Australian Black Angus Beef slow-cooked in a classic casserole.  Or our Moroccan Lamb Pie cooked with exotic Middle Eastern spices, dates and chickpeas.  Simply delicious!

Our pies have been widely acclaimed, winning numerous awards and gold medals as well as favourable reviews by Australia’s most notable food critics. ";http://www.boscastle.com.au/;;;;
Hawaiian Springs Artesian Water;Hawaiian Springs is dedicated to providing Hawaii's world class natural artesian water from one of the most pristine and renewable sources on earth, while striving to protect Hawaii's unique flora & fauna. Hawaiian Springs Natural Artesian Water - the True Taste of Hawaii from the Big Island. Find it at stores near you!;www.HawaiianSpringsWater.com;https://www.facebook.com/HawaiianSpringsAU;https://twitter.com/HawaiianSprings;http://instagram.com/HawaiianSpringsWater;
Mad Pizzeria & Vino;;;;;;
Wine Selectors;Wine Selectors a better way to buy wine online. Conveniently delivering wine to over 200,000 happy customers, we offer access to over 400 Australian producers.;wineselectors.com.au;https://www.facebook.com/wineselectors;https://twitter.com/wineselectors;http://instagram.com/wineselectors;
